,Kodu,TEFAS İşlem Başlangıç Saati,Fon Alış Valörü,TEFAS Min. Alış İşlem Miktarı ,TEFAS Max. Alış İşlem Miktarı ,TEFAS İşlem Durumu,Çıkış Komisyonu,ISIN Kodu,TEFAS Son İşlem Saati,Fon Satış Valörü,TEFAS Min. Satış İşlem Miktarı ,TEFAS Max. Satış İşlem Miktarı ,Giriş Komisyonu
0,AAK,09:00,1.0,1,0.0,İşlem Görüyor, ,TRMAF1WWWWW4,17:30,1.0,1,0.0, 
1,AAL,09:00,0.0,10000,0.0,İşlem Görüyor, ,TRMAALWWWWW5,13:30,0.0,10,0.0, 
2,AAS,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYATAM00028,17:30,2.0,1,0.0, 
3,AAV,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYATAM00069,17:30,2.0,1,0.0, 
4,ACC,09:00,1.0,1,999999999999999.0,İşlem Görüyor, ,TRYACTU00027,17:30,2.0,1,999999999999999.0, 
5,ACD,09:00,1.0,1,0.0,İşlem Görüyor, ,TRMACDWWWWW8,17:30,2.0,1,0.0, 
6,ACK,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYACMD00010,17:30,2.0,1,0.0, 
7,ACU,09:00,0.0,1,0.0,İşlem Görüyor, ,TRYACTU00084,17:00,0.0,1,0.0, 
8,ADE,09:00,1.0,1,90000000000.0,İşlem Görüyor, ,TRMADEWWWWW4,17:45,1.0,1,90000000000.0, 
9,ADP,09:00,1.0,1,90000000000.0,İşlem Görüyor, ,TRMADFWWWWW1,17:45,2.0,1,90000000000.0, 
10,AED,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYATAM00010,17:30,2.0,1,0.0, 
11,AES,09:00,1.0,1,50000000000.0,İşlem Görüyor, ,TRYAKBK00441,17:45,3.0,1,90000000000.0, 
12,AFA,09:00,1.0,1,90000000000.0,İşlem Görüyor, ,TRYAKBK00458,17:45,3.0,1,90000000000.0, 
13,AFO,09:00,1.0,1,90000000000.0,İşlem Görüyor, ,TRYAKBK00052,17:45,1.0,1,90000000000.0, 
14,AFS,09:00,1.0,1,90000000000.0,İşlem Görüyor, ,TRYAKBK00482,17:45,3.0,1,90000000000.0, 
15,AFT,09:00,1.0,1,90000000000.0,İşlem Görüyor, ,TRYAKBK00144,17:45,3.0,1,90000000000.0, 
16,AFV,09:00,1.0,1,90000000000.0,İşlem Görüyor, ,TRYAKBK00466,17:45,3.0,1,90000000000.0, 
17,AGC,09:00,1.0,1,9000000000000.0,İşlem Görüyor, ,TRYAKPO00468,17:45,3.0,1,90000000000.0, 
18,AHI,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYATLP00028,17:30,2.0,1,0.0, 
19,AHN,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYATLP00044,17:30,3.0,1,0.0, 
20,AHU,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYATLP00051,17:30,1.0,1,0.0, 
21,AIS,09:00,1.0,1,90000000000.0,İşlem Görüyor, ,TRYAKBK00847,17:45,1.0,1,90000000000.0, 
22,AKE,09:00,1.0,1,90000000000.0,İşlem Görüyor, ,TRYAKBK00318,17:45,3.0,1,90000000000.0, 
23,AKU,09:00,1.0,1,90000000000.0,İşlem Görüyor, ,TRMAKUWWWWW5,17:45,2.0,1,90000000000.0, 
24,AK2,09:00,1.0,1,90000000000.0,İşlem Görüyor, ,TRMAK2WWWWW5,17:45,1.0,1,90000000000.0, 
25,AK3,09:00,1.0,1,90000000000.0,İşlem Görüyor, ,TRMAK3WWWWW3,17:45,2.0,1,90000000000.0, 
26,ALC,09:00,1.0,1,90000000000.0,İşlem Görüyor, ,TRYAKBK00946,17:45,2.0,1,90000000000.0, 
27,ANZ,09:00,1.0,10,0.0,İşlem Görüyor, ,TRYATAP00039,17:30,3.0,10,0.0, 
28,AN1,10:00,1.0,1,0.0,İşlem Görüyor, ,TRMAN1WWWWW4,15:20,2.0,1,0.0, 
29,AOY,09:00,1.0,1,90000000000.0,İşlem Görüyor, ,TRYAKBK00029,17:45,3.0,1,90000000000.0, 
30,APJ,09:00,1.0,1,900000000000.0,İşlem Görüyor, ,TRYAKPO00351,17:45,1.0,1,900000000000.0, 
31,APT,09:00,1.0,1,90000000000.0,İşlem Görüyor, ,TRYAKBK00060,17:45,1.0,1,90000000000.0, 
32,ARE,09:00,1.0,1,9999999999999.0,İşlem Görüyor, ,TRYGRAN00498,13:30,3.0,1,99999999999999.0, 
33,ARL,09:00,1.0,1,90000000000.0,İşlem Görüyor, ,TRYAKPO00062,17:45,2.0,1,90000000000.0, 
34,ARM,09:00,1.0,1,90000000000.0,İşlem Görüyor, ,TRYAKPO00054,17:45,2.0,1,90000000000.0, 
35,AUT,09:00,0.0,2000,0.0,İşlem Görüyor, ,TRYATAM00044,13:30,0.0,1,0.0, 
36,AYA,09:00,1.0,1,0.0,İşlem Görüyor, ,TRMAATWWWWW8,17:30,2.0,1,0.0, 
37,AYR,09:00,1.0,1,90000000000.0,İşlem Görüyor, ,TRYAKBK00722,17:45,1.0,1,90000000000.0, 
38,BGP,09:00,0.0,1,90000000000.0,İşlem Görüyor, ,TRYAKPO00625,13:30,0.0,1,900000000000.0, 
39,DAH,09:00,1.0,100,400000000.0,İşlem Görüyor, ,TRMDAHWWWWW7,16:00,2.0,100,400000000.0, 
40,DBA,09:00,1.0,100,400000000.0,İşlem Görüyor, ,TRYDZBK00070,16:00,1.0,100,400000000.0, 
41,DBB,09:00,1.0,100,400000000.0,İşlem Görüyor, ,TRYDZBK00013,16:00,1.0,100,400000000.0, 
42,DBH,09:00,1.0,100,100000000.0,İşlem Görüyor, ,TRYDZBK00260,16:00,3.0,100,100000000.0, 
43,DBP,09:00,1.0,100,400000000.0,İşlem Görüyor, ,TRYDZBK00021,16:00,1.0,100,400000000.0, 
44,DBZ,09:00,1.0,100,400000000.0,İşlem Görüyor, ,TRYDZBK00195,16:00,1.0,100,400000000.0, 
45,DGH,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYDSTK00010,17:30,1.0,1,0.0, 
46,DPK,09:00,1.0,1,400000000.0,İşlem Görüyor, ,TRYDNZP00058,16:00,1.0,1,400000000.0, 
47,DPT,09:00,1.0,1,60000.0,İşlem Görüyor, ,TRYDNZP00074,16:00,2.0,1,400000000.0, 
48,DSP,09:00,1.0,1,400000000.0,İşlem Görüyor, ,TRYDNZP00066,16:00,3.0,1,400000000.0, 
49,DZE,09:00,1.0,100,400000000.0,İşlem Görüyor, ,TRMDZEWWWWW1,16:00,2.0,100,400000000.0, 
50,DZM,09:00,1.0,1,100000000.0,İşlem Görüyor, ,TRYDNZP00371,16:00,3.0,1,100000000.0, 
51,DZT,09:00,1.0,100,400000000.0,İşlem Görüyor, ,TRMDZTWWWWW9,16:00,1.0,100,400000000.0, 
52,EBD,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYECZM00023,13:30,2.0,1,0.0, 
53,ECA,09:00,1.0,1,0.0,İşlem Görüyor, ,TRMECKWWWWW5,13:30,2.0,1,0.0, 
54,ECT,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYECZM00031,13:30,1.0,1,0.0, 
55,EC2,09:00,1.0,1,0.0,İşlem Görüyor, ,TRMEC2WWWWW1,13:30,2.0,1,0.0, 
56,EIB,09:00,1.0,1000,1000000000.0,İşlem Görüyor, ,TRYISVH00029,12:30,1.0,1,1000000000.0, 
57,EIC,09:00,1.0,1000,1000000000.0,İşlem Görüyor, ,TRYERPO00036,12:30,1.0,1,1000000000.0, 
58,EID,09:00,1.0,1000,100000000.0,İşlem Görüyor, ,TRYISVH00011,12:30,2.0,1,100000000.0, 
59,EIL,09:00,0.0,1000,10000000.0,İşlem Görüyor, ,TRMAITWWWWW1,12:00,0.0,10,10000000.0, 
60,EKF,09:00,1.0,1000,1000000000.0,İşlem Görüyor, ,TRYERPO00028,12:30,1.0,1,1000000000.0, 
61,ELZ,09:00,1.0,1,100000000.0,İşlem Görüyor, ,TRYQPYS00011,12:30,2.0,1,100000000.0, 
62,ESG,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYMKFT00182,17:45,2.0,1,0.0, 
63,EUZ,09:00,1.0,1,9999999999999.0,İşlem Görüyor, ,TRYGAPO00490,17:45,2.0,1,99999999999999.0, 
64,FBV,09:30,1.0,1,0.0,İşlem Görüyor, ,TRYISPO00605,17:45,3.0,1,0.0, 
65,FCV,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYFIBP00047,17:30,1.0,1,0.0, 
66,FFH,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYFIPO00180,17:30,2.0,1,0.0, 
67,FFP,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYFIPO00198,17:30,2.0,1,0.0, 
68,FFS,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYFIBP00054,17:30,3.0,1,0.0, 
69,FIB,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYFIBA00015,17:30,1.0,1,0.0, 
70,FID,09:00,1.0,1000,0.0,İşlem Görüyor, ,TRYBEUR00025,17:30,1.0,1000,0.0, 
71,FIL,09:00,0.0,1000,7200000000.0,İşlem Görüyor, ,TRYBEUR00017,13:30,0.0,1000,0.0, 
72,FIT,09:00,1.0,1000,0.0,İşlem Görüyor, ,TRYBEUR00033,17:30,1.0,1000,0.0, 
73,FI3,09:00,1.0,1,0.0,İşlem Görüyor, ,TRMFI3WWWWW2,17:30,1.0,1,0.0, 
74,FJB,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYFIBP00161,17:30,3.0,1,0.0, 
75,FJZ,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYFIBP00153,17:30,3.0,1,0.0, 
76,FNO,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYFNBK00063,17:30,2.0,1,0.0, 
77,FPE,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYFIBP00039,17:30,3.0,1,0.0, 
78,FPH,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYFIBP00021,17:30,2.0,1,0.0, 
79,FPK,09:00,0.0,1000,2330000000.0,İşlem Görüyor, ,TRYFIBP00013,13:00,0.0,1000,0.0, 
80,FPZ,09:00,0.0,1,0.0,İşlem Görüyor, ,TRYFIPO00065,17:00,0.0,1,0.0, 
81,FSF,09:00,0.0,1,0.0,İşlem Görüyor, ,TRYFIBP00070,13:00,0.0,1,0.0, 
82,FSK,09:00,0.0,1,0.0,İşlem Görüyor, ,TRYFIPO00123,13:30,0.0,1,0.0, 
83,FUB,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYFNBK00022,17:30,2.0,1,0.0, 
84,FYD,09:00,1.0,1,0.0,İşlem Görüyor, ,TRMFYDWWWWW1,17:30,2.0,1,0.0, 
85,FYO,09:00,1.0,1,0.0,İşlem Görüyor, ,TRMFYKWWWWW6,17:30,1.0,1,0.0, 
86,FZP,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYFIBP00112,17:30,1.0,1,0.0, 
87,GAE,09:00,1.0,1,99999999999999.0,İşlem Görüyor, ,TRMGAEWWWWW7,17:45,2.0,1,99999999999999.0, 
88,GAF,09:00,1.0,100,5000000.0,İşlem Görüyor, ,TRMGAFWWWWW4,13:00,2.0,100,0.0, 
89,GAG,09:00,1.0,1000,6000000.0,İşlem Görüyor, ,TRYGEPO00013,13:00,3.0,1000,0.0, 
90,GAH,09:00,1.0,1,99999999999898.0,İşlem Görüyor, ,TRYGAPO00128,17:45,2.0,1,99999999999898.0, 
91,GAK,09:00,1.0,10,500000.0,İşlem Görüyor, ,TRMGD1WWWWW0,13:00,2.0,10,0.0, 
92,GAS,09:00,1.0,1,99999999999.0,İşlem Görüyor, ,TRYGRAN00100,17:45,2.0,1,99999999999.0, 
93,GA1,09:00,1.0,1,999999999999.0,İşlem Görüyor, ,TRMGA1WWWWW3,17:45,1.0,1,999999999999.0, 
94,GBC,09:00,1.0,1,3000000000.0,İşlem Görüyor, ,TRYGLMK00013,17:00,3.0,1,0.0, 
95,GBG,09:00,1.0,1000,2500000.0,İşlem Görüyor, ,TRYGDKM00036,13:00,3.0,1000,0.0, 
96,GBL,09:00,0.0,1,2780000000.0,İşlem Görüyor, ,TRMGBLWWWWW0,13:30,0.0,1,0.0, 
97,GBN,09:00,1.0,1,9999999999999.0,İşlem Görüyor, ,TRYGAPO00151,17:45,1.0,1,999999999999.0, 
98,GGK,09:00,1.0,100,0.0,İşlem Görüyor, ,TRYGEPO00104,13:30,1.0,100,0.0, 
99,GHS,09:00,1.0,1,9999999999999.0,İşlem Görüyor, ,TRMOSKWWWWW0,17:45,2.0,1,9999999999999.0, 
100,GJB,09:00,1.0,1,50000000.0,İşlem Görüyor, ,TRYGEPO00120,13:00,2.0,1,0.0, 
101,GKF,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYGMDP00043,13:30,1.0,1,0.0, 
102,GLS,09:00,1.0,1,10000000000.0,İşlem Görüyor, ,TRYGLMK00047,17:00,1.0,1,0.0, 
103,GL1,09:00,1.0,1,10000000.0,İşlem Görüyor, ,TRMGL1WWWWW0,17:00,2.0,1,0.0, 
104,GMA,09:00,1.0,1,1000000000.0,İşlem Görüyor, ,TRMBYKWWWWW5,17:00,2.0,1,0.0, 
105,GMR,09:00,1.0,100,50000000.0,İşlem Görüyor, ,TRYGDKM00010,13:00,2.0,100,0.0, 
106,GOH,09:00,1.0,1,99999999999.0,İşlem Görüyor, ,TRYGAPO00524,17:45,2.0,1,99999999999.0, 
107,GPA,09:00,1.0,1,9999999999999.0,İşlem Görüyor, ,TRYGAPO00052,17:45,2.0,1,99999999999999.0, 
108,GPB,09:00,1.0,1,9999999999999.0,İşlem Görüyor, ,TRYGAPO00029,17:45,2.0,1,9999999999999.0, 
109,GPC,09:00,1.0,1,99999999999.0,İşlem Görüyor, ,TRYGAPO00136,17:45,2.0,1,99999999999.0, 
110,GPF,09:00,1.0,1,9999999999999.0,İşlem Görüyor, ,TRYGAPO00011,17:45,1.0,1,9999999999999.0, 
111,GPG,09:00,1.0,100,0.0,İşlem Görüyor, ,TRYGEPO00039,13:00,2.0,100,0.0, 
112,GPI,09:00,1.0,1,9999999999999.0,İşlem Görüyor, ,TRYGAPO00037,17:45,2.0,1,9999999999999.0, 
113,GPU,09:00,1.0,1,9999999999999.0,İşlem Görüyor, ,TRYGAPO00045,17:45,2.0,1,9999999999999.0, 
114,GSP,09:00,1.0,1,10000000000.0,İşlem Görüyor, ,TRMGLAWWWWW2,17:00,2.0,1,0.0, 
115,GTA,09:00,1.0,1,99999999999999.0,İşlem Görüyor, ,TRYGRAN00027,17:45,1.0,1,99999999999999.0, 
116,GTF,09:00,1.0,1,200000000.0,İşlem Görüyor, ,TRMBD1WWWWW5,17:00,1.0,1,0.0, 
117,GTY,09:00,1.0,1,99999999999.0,İşlem Görüyor, ,TRYGAPO00425,17:45,3.0,1,99999999999.0, 
118,GTZ,09:00,1.0,1,99999999999.0,İşlem Görüyor, ,TRYGAPO00391,17:45,3.0,1,99999999999.0, 
119,GUH,09:00,1.0,1,99999999999.0,İşlem Görüyor, ,TRYGRAN00571,17:45,3.0,1,99999999999999.0, 
120,GUM,09:00,1.0,1,90000000000.0,İşlem Görüyor, ,TRYAKPO00898,17:45,3.0,1,90000000000.0, 
121,GYK,09:00,1.0,100,50000000.0,İşlem Görüyor, ,TRYGDKM00028,13:00,1.0,100,0.0, 
122,GYL,09:00,0.0,100,50000000.0,"Fon Alımına Kapalı, Fon Bozumuna Açık", ,TRMGD2WWWWW8,13:00,0.0,100,0.0, 
123,GZH,09:00,1.0,1,99999999999.0,İşlem Görüyor, ,TRYGAPO00417,17:45,3.0,1,99999999999.0, 
124,GZJ,09:00,1.0,1,999999999999.0,İşlem Görüyor, ,TRYGAPO00466,17:45,2.0,1,99999999999999.0, 
125,GZM,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYGMDP00076,13:30,2.0,1,0.0, 
126,GZN,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYGMDP00050,13:30,2.0,1,0.0, 
127,GZP,09:00,1.0,1,99999999999999.0,İşlem Görüyor, ,TRYGAPO00474,17:45,2.0,1,99999999999999.0, 
128,GZR,09:00,1.0,1,99999999999.0,İşlem Görüyor, ,TRYGAPO00409,17:45,2.0,1,99999999999.0, 
129,GZV,09:00,1.0,1,999999999999.0,İşlem Görüyor, ,TRYGAPO00441,17:45,3.0,1,9999999999999.0, 
130,HBF,09:00,1.0,1,149999999.0,İşlem Görüyor, ,TRMDAFWWWWW1,17:30,1.0,1,149999999.0, 
131,HBU,09:00,1.0,100,1999999999.0,İşlem Görüyor, ,TRMDUFWWWWW9,17:30,2.0,100,1999999999.0, 
132,HMG,09:00,1.0,1,99999999999.0,İşlem Görüyor, ,TRYHSPO00037,17:30,2.0,1,99999999999.0, 
133,HOA,09:00,1.0,1,4999999999.0,İşlem Görüyor, ,TRYHSBC00461,17:30,2.0,1,4999999999.0, 
134,HOY,09:00,1.0,1,4999999999.0,İşlem Görüyor, ,TRYHSBC00479,17:30,3.0,1,4999999999.0, 
135,HPD,09:00,1.0,1,9999999999.0,İşlem Görüyor, ,TRYHSBC00180,17:30,2.0,1,9999999999.0, 
136,HPO,09:00,1.0,1,9999999999.0,İşlem Görüyor, ,TRYHSBC00198,17:30,1.0,1,9999999999.0, 
137,HPT,09:00,0.0,1,9999999999.0,İşlem Görüyor, ,TRYHSBC00362,13:30,0.0,1,9999999999.0, 
138,HSA,09:00,1.0,1,999999.0,İşlem Görüyor, ,TRMDM1WWWWW2,17:30,2.0,1,999999.0, 
139,HSL,09:00,0.0,1,9999999999.0,İşlem Görüyor, ,TRMDM2WWWWW0,13:30,0.0,1,9999999999.0, 
140,HST,09:00,1.0,1,1999999999.0,İşlem Görüyor, ,TRMDBTWWWWW0,17:30,1.0,1,1999999999.0, 
141,HTT,09:00,1.0,100,1999999999.0,İşlem Görüyor, ,TRMDBLWWWWW7,17:30,1.0,100,1999999999.0, 
142,HVS,09:00,1.0,1,999999999.0,İşlem Görüyor, ,TRYHSBC00016,17:30,2.0,1,999999999.0, 
143,HYV,09:00,0.0,1,0.0,İşlem Görüyor, ,TRYHDFP00078,13:30,0.0,1,0.0, 
144,IAT,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYISMD00027,17:45,1.0,1,0.0, 
145,IBB,09:30,1.0,1,0.0,İşlem Görüyor, ,TRYISPO00183,17:45,2.0,1,0.0, 
146,ICA,09:00,1.0,1000,10000000000.0,İşlem Görüyor, ,TRYTKSB00014,17:00,1.0,1000,10000000000.0, 
147,ICC,09:00,1.0,10,715700000.0,İşlem Görüyor, ,TRMTMDWWWWW7,17:00,2.0,10,715700000.0, 
148,ICD,09:00,1.0,10,5732000.0,İşlem Görüyor, ,TRMTL2WWWWW3,17:00,1.0,10,5732000.0, 
149,ICE,09:00,0.0,10,0.0,İşlem Görüyor, ,TRMTL1WWWWW5,13:00,0.0,10,0.0, 
150,ICF,09:00,1.0,10,10000000.0,İşlem Görüyor, ,TRMTL3WWWWW1,17:00,2.0,10,10000000.0, 
151,ICV,09:00,1.0,10,10000000.0,İşlem Görüyor, ,TRYICBC00026,17:00,2.0,10,10000000.0, 
